NameOfMedicine;InternationalName;ActiveSubstance;Therapeutic;URL
Forxiga;dapagliflozin;dapagliflozin propanediol monohydrate;Type 2 diabetes mellitus Forxiga is indicated in adults and children aged 10 years and above for the treatment of insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise  as monotherapy when metformin is considered inappropriate due to intolerance. in addition to other medicinal products for the treatment of type 2 diabetes.  For study results with respect to combination of therapies, effects on glycaemic control, cardiovascular and renal events, and the populations studied, see sections 4.4, 4.5 and 5.1. Heart failure Forxiga is indicated in adults for the treatment of symptomatic chronic heart failure. Chronic kidney disease Forxiga is indicated in adults for the treatment of chronic kidney disease.;https://www.ema.europa.eu/en/medicines/human/EPAR/forxiga
Edistride;dapagliflozin;dapagliflozin propanediol monohydrate;Type 2 diabetes mellitus Edistride is indicated in adults and children aged 10 years and above for the treatment of insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise  as monotherapy when metformin is considered inappropriate due to intolerance. in addition to other medicinal products for the treatment of type 2 diabetes.  For study results with respect to combination of therapies, effects on glycaemic control, cardiovascular and renal events, and the populations studied, see sections 4.4, 4.5 and 5.1. Heart failure Edistride is indicated in adults for the treatment of symptomatic chronic heart failure. Chronic kidney disease Edistride is indicated in adults for the treatment of chronic kidney disease.;https://www.ema.europa.eu/en/medicines/human/EPAR/edistride
Regkirona;regdanvimab;Regdanvimab;Regdanvimab is indicated for the treatment of adults with coronavirus disease 2019 (COVID-19) who do not require supplemental oxygen and who are at increased risk of progressing to severe COVID-19.;https://www.ema.europa.eu/en/medicines/human/EPAR/regkirona
Tepkinly;epcoritamab;epcoritamab;"Tepkinly as monotherapy is indicated for the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) after two or more lines of systemic therapy.Tepkinly as monotherapy is indicated for the treatment of adult patients with relapsed or refractory follicular lymphoma (FL) after two or more lines of systemic therapy.Tepkinly as monotherapy is indicated for the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) after two or more lines of systemic therapy.Tepkinly as monotherapy is indicated for the treatment of adult patients with relapsed or refractory follicular lymphoma (FL) after two or more lines of systemic therapy.&nbsp;";https://www.ema.europa.eu/en/medicines/human/EPAR/tepkinly
Alhemo;concizumab;concizumab;"Routine prophylaxis of bleeding in patients with; haemophilia A (congenital factor VIII deficiency) with FVIII inhibitors and of 12 years of age or more; haemophilia B (congenital factor IX deficiency) with FIX inhibitors and of 12 years of age or more.&nbsp;";https://www.ema.europa.eu/en/medicines/human/EPAR/alhemo
Mycamine;micafungin;micafungin;"Mycamine is indicated for: Adults, adolescents ≥ 16 years of age and elderly  treatment of invasive candidiasis; treatment of oesophageal candidiasis in patients for whom intravenous therapy is appropriate; prophylaxis of Candida infection in patients undergoing allogeneic haematopoietic stem-cell transplantation or patients who are expected to have neutropenia (absolute neutrophil count &lt; 500 cells/µl) for 10 or more days.  Children (including neonates) and adolescents &lt; 16 years of age  treatment of invasive candidiasis. prophylaxis of Candida infection in patients undergoing allogeneic haematopoietic stem-cell transplantation or patients who are expected to have neutropenia (absolute neutrophil count &lt; 500 cells/µl) for 10 or more days.  The decision to use Mycamine should take into account a potential risk for the development of liver tumours. Mycamine should therefore only be used if other antifungals are not appropriate.";https://www.ema.europa.eu/en/medicines/human/EPAR/mycamine
Pifeltro;doravirine;doravirine;Pifeltro is indicated, in combination with other antiretroviral medicinal products, for the treatment of adults, and adolescents aged 12 years and older weighing at least 35 kg infected with HIV 1 without past or present evidence of resistance to the NNRTI class.;https://www.ema.europa.eu/en/medicines/human/EPAR/pifeltro
Delstrigo;"doravirine;lamivudine;tenofovir disoproxil";"doravirine;lamivudine;tenofovir disoproxil fumarate";Delstrigo is indicated for the treatment of adults infected with HIV 1 without past or present evidence of resistance to the NNRTI class, lamivudine, or tenofovir. Delstrigo is also indicated for the treatment of adolescents aged 12 years and older weighing at least 35 kg who are infected with HIV-1 without past or present evidence of resistance to the NNRTI class, lamivudine, or tenofovir and who have experienced toxicities which preclude the use of other regimens that do not contain tenofovir disoproxil.;https://www.ema.europa.eu/en/medicines/human/EPAR/delstrigo
Cibinqo;abrocitinib;abrocitinib;Cibinqo is indicated for the treatment of moderate-to-severe atopic dermatitis in adults and adolescents 12 years and older who are candidates for systemic therapy.;https://www.ema.europa.eu/en/medicines/human/EPAR/cibinqo
Zyprexa Velotab;olanzapine;olanzapine;Adults Olanzapine is indicated for the treatment of schizophrenia. Olanzapine is effective in maintaining the clinical improvement during continuation therapy in patients who have shown an initial treatment response. Olanzapine is indicated for the treatment of moderate to severe manic episode. In patients whose manic episode has responded to olanzapine treatment, olanzapine is indicated for the prevention of recurrence in patients with bipolar disorder.;https://www.ema.europa.eu/en/medicines/human/EPAR/zyprexa-velotab
Votubia;everolimus;everolimus;Renal angiomyolipoma associated with tuberous sclerosis complex (TSC) Votubia is indicated for the treatment of adult patients with renal angiomyolipoma associated with tuberous sclerosis complex (TSC) who are at risk of complications (based on factors such as tumour size or presence of aneurysm, or presence of multiple or bilateral tumours) but who do not require immediate surgery. The evidence is based on analysis of change in sum of angiomyolipoma volume. Subependymal giant cell astrocytoma (SEGA) associated with tuberous sclerosis complex (TSC) Votubia is indicated for the treatment of patients with subependymal giant cell astrocytoma (SEGA) associated with tuberous sclerosis complex (TSC) who require therapeutic intervention but are not amenable to surgery. The evidence is based on analysis of change in SEGA volume. Further clinical benefit, such as improvement in disease?related symptoms, has not been demonstrated.;https://www.ema.europa.eu/en/medicines/human/EPAR/votubia
Gliolan;5-aminolevulinic acid hydrochloride;5-aminolevulinic acid hydrochloride;Gliolan is indicated in adult patients for visualisation of malignant tissue during surgery for malignant glioma (World Health Organization grade III and IV).;https://www.ema.europa.eu/en/medicines/human/EPAR/gliolan
Dupixent;dupilumab;dupilumab;Atopic dermatitis Adults and adolescentsDupixent is indicated for the treatment of moderate-to-severe atopic dermatitis in adults and adolescents 12 years and older who are candidates for systemic therapy. Children 6 months to 11 years of ageDupixent is indicated for the treatment of severe atopic dermatitis in children 6 months to 11 years old who are candidates for systemic therapy. Asthma Adults and adolescentsDupixent is indicated in adults and adolescents 12 years and older as add-on maintenance treatment for severe asthma with type 2 inflammation characterised by raised blood eosinophils and/or raised fraction of exhaled nitric oxide (FeNO), see section 5.1, who are inadequately controlled with high dose inhaled corticosteroids (ICS) plus another medicinal product for maintenance treatment. Children 6 to 11 years of ageDupixent is indicated in children 6 to 11 years old as add-on maintenance treatment for severe asthma with type 2 inflammation characterised by raised blood eosinophils and/or raised fraction of exhaled nitric oxide (FeNO), who are inadequately controlled with medium to high dose inhaled corticosteroids (ICS) plus another medicinal product for maintenance treatment. Chronic rhinosinusitis with nasal polyposis (CRSwNP) Dupixent is indicated as an add-on therapy with intranasal corticosteroids for the treatment of adults with severe CRSwNP for whom therapy with systemic corticosteroids and/or surgery do not provide adequate disease control. Prurigo Nodularis (PN) Dupixent is indicated for the treatment of adults with moderate-to-severe prurigo nodularis (PN) who are candidates for systemic therapy. Eosinophilic esophagitis (EoE) Dupixent is indicated for the treatment of eosinophilic esophagitis in adults and adolescents 12 years and older, weighing at least 40 kg, who are inadequately controlled by, are intolerant to, or who are not candidates for conventional medicinal therapy. Chronic obstructive pulmonary disease (COPD) Dupixent is indicated in adults as add-on maintenance treatment for uncontrolled chronic obstructive pulmonary disease (COPD) characterised by raised blood eosinophils on a combination of an inhaled corticosteroid (ICS), a long-acting beta2-agonist (LABA), and a long-acting muscarinic antagonist (LAMA), or on a combination of a LABA and a LAMA if ICS is not appropriate.;https://www.ema.europa.eu/en/medicines/human/EPAR/dupixent
Zometa;zoledronic acid;"zoledronic acid;zoledronic acid monohydrate";"Prevention of skeletal related events (pathological fractures, spinal compression, radiation or surgery to bone, or tumour-induced hypercalcaemia) in patients with advanced malignancies involving bone; treatment of tumour-induced hypercalcaemia (TIH); prevention of skeletal related events (pathological fractures, spinal compression, radiation or surgery to bone, or tumour-induced hypercalcaemia) in patients with advanced malignancies involving bone; treatment of tumour-induced hypercalcaemia (TIH); prevention of skeletal related events (pathological fractures, spinal compression, radiation or surgery to bone, or tumour-induced hypercalcaemia) in adult patients with advanced malignancies involving bone; treatment of adult patients with tumour-induced hypercalcaemia (TIH).";https://www.ema.europa.eu/en/medicines/human/EPAR/zometa
Zavesca;miglustat;miglustat;Zavesca is indicated for the oral treatment of adult patients with mild to moderate type-1 Gaucher disease. Zavesca may be used only in the treatment of patients for whom enzyme replacement therapy is unsuitable. Zavesca is indicated for the treatment of progressive neurological manifestations in adult patients and paediatric patients with Niemann-Pick type-C disease.;https://www.ema.europa.eu/en/medicines/human/EPAR/zavesca
